	Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts	Pathogenic_change
3893	COL6A6	131873	60	59	36	1	616613	12	1	1.0
3894	COL7A1	1294	3640	2616	3624	602	120120	526	114	602.0
3895	COL8A1	1295	18	18	1	0	120251	5	0	-1.0
3896	COL8A2	1296	65	51	49	3	120252	10	0	3.0
3897	COL9A1	1297	1213	892	1188	38	120210	343	28	36.0
3898	COL9A2	1298	973	604	954	15	120260	257	38	15.0
3899	COL9A3	1299	1282	907	1230	23	120270	373	30	23.0
3900	COLCA1	399948	1	1	0	0	615693	0	0	0.0
3901	COLEC10	10584	67	65	10	5	607620	5	0	5.0
3902	COLEC11	78989	73	70	35	7	612502	17	0	7.0
3903	COLEC12	81035	155	150	6	2	607621	24	0	-3.0
3904	COLGALT1	79709	29	29	8	5	617531	9	0	5.0
3905	COLGALT2	23127	33	32	0	0	617533	6	0	0.0
3906	COLQ	8292	615	465	584	63	603033	191	11	62.0
3907	COMETT	100996266	22	21	0	1	0	8	0	1.0
3908	COMMD1	150684	27	27	0	0	607238	7	0	-50.0
3909	COMMD10	51397	38	37	0	0	616704	2	0	0.0
3910	COMMD2	51122	18	18	0	0	616699	0	0	0.0
3911	COMMD3	23412	27	27	0	0	616700	3	0	0.0
3912	COMMD3-BMI1	100532731	30	30	1	0	0	4	0	0.0
3913	COMMD4	54939	37	36	0	1	616701	8	0	1.0
3914	COMMD5	28991	59	59	0	0	608216	7	0	-4.0
3915	COMMD6	170622	65	65	0	0	612377	2	0	-4.0
3916	COMMD7	149951	21	21	1	0	616703	2	0	0.0
3917	COMMD8	54951	21	21	0	0	616656	2	0	0.0
3918	COMMD9	29099	25	25	1	0	612299	7	0	0.0
3919	COMP	1311	637	426	616	120	600310	153	14	120.0
3920	COMT	1312	639	586	212	0	116790	33	0	0.0
3921	COMTD1	118881	17	17	0	0	0	4	0	-3.0
3922	COP1	64326	39	38	9	2	608067	5	0	-3.0
3923	COPA	1314	478	437	461	6	601924	202	1	6.0
3924	COPB1	1315	27	25	5	4	600959	3	0	4.0
3925	COPB2	9276	65	58	37	3	606990	14	0	2.0
3926	COPB2-DT	100507291	38	38	0	0	0	14	0	-1.0
3927	COPE	11316	11	11	0	0	606942	1	0	-1.0
3928	COPG1	22820	18	18	2	0	615525	5	0	0.0
3929	COPG2	26958	30	30	0	0	604355	7	0	-1.0
3930	COPG2IT1	53844	9	9	0	0	610581	0	0	-1.0
3931	COPRS	55352	49	48	0	2	0	5	0	2.0
3932	COPS2	9318	29	28	3	0	604508	6	0	0.0
3933	COPS3	8533	119	118	2	1	604665	3	0	1.0
3934	COPS4	51138	38	38	0	0	616008	2	0	-2.0
3935	COPS5	10987	34	34	0	0	604850	9	0	0.0
3936	COPS6	10980	26	26	1	1	614729	6	0	-1.0
3937	COPS7A	50813	49	48	0	1	616009	6	0	1.0
3938	COPS7B	64708	32	31	0	0	616010	4	0	0.0
3939	COPS8	10920	69	69	0	0	616011	5	0	0.0
3940	COPS9	150678	95	93	0	0	619349	5	0	-1.0
3941	COPZ1	22818	9	9	1	1	615472	0	0	1.0
3942	COPZ2	51226	10	10	0	0	615526	1	0	-1.0
3943	COQ10A	93058	10	10	0	0	0	3	0	0.0
3944	COQ10B	80219	38	38	0	0	0	2	0	0.0
3945	COQ2	27235	352	205	310	18	609825	64	9	18.0
3946	COQ3	51805	25	25	1	0	605196	4	0	-15.0
3947	COQ4	51117	288	209	246	28	612898	58	8	28.0
3948	COQ5	84274	26	26	6	2	616359	6	0	2.0
3949	COQ6	51004	248	175	227	18	614647	46	5	-3.0
3950	COQ7	10229	144	122	122	3	601683	48	1	3.0
3951	COQ7-DT	102723385	17	15	0	0	0	6	0	0.0
3952	COQ8A	56997	918	504	869	72	606980	180	46	72.0
3953	COQ8B	79934	256	162	246	15	615567	34	12	15.0
3954	COQ9	57017	241	183	212	8	612837	80	10	8.0
3955	CORIN	10699	51	49	26	2	605236	11	1	2.0
3956	CORO1A	11151	383	340	217	85	605000	75	3	85.0
3958	CORO1B	57175	18	18	0	0	609849	5	0	-49.0
3959	CORO1C	23603	13	13	0	0	605269	2	0	0.0
3960	CORO2A	7464	45	45	1	2	602159	8	0	1.0
3961	CORO2B	10391	19	18	0	0	605002	4	0	-47.0
3962	CORO6	84940	13	13	1	0	0	2	0	0.0
3963	CORO7	79585	49	46	3	2	611668	8	0	2.0
3964	CORO7-PAM16	100529144	105	99	1	4	0	25	0	4.0
3965	CORT	1325	40	40	0	0	602784	9	0	0.0
3966	COSMOC	101927809	23	21	0	0	0	1	0	0.0
3967	COTL1	23406	66	66	0	2	606748	17	0	2.0
3968	COX10	1352	515	293	411	88	602125	78	20	87.0
3969	COX10-DT	100874058	8	7	0	0	0	1	0	0.0
3970	COX11	1353	12	12	0	0	603648	0	0	-2.0
3971	COX14	84987	34	28	26	2	614478	7	0	2.0
3972	COX15	1355	315	251	296	9	603646	135	15	9.0
3973	COX16	51241	12	12	1	1	618064	0	0	0.0
3974	COX17	10063	22	22	0	0	604813	6	0	0.0
3975	COX18	285521	31	31	2	0	610428	6	0	-4.0
3976	COX19	90639	63	63	0	0	610429	13	0	-1.0
3977	COX20	116228	205	162	108	7	614698	24	6	7.0
3978	COX4I1	1327	60	59	5	3	123864	9	0	3.0
3979	COX4I2	84701	64	55	35	0	607976	10	1	-49.0
3980	COX5A	9377	44	43	3	1	603773	5	0	-10.0
3981	COX5B	1329	25	25	0	0	123866	3	0	0.0
3982	COX6A1	1337	83	74	66	1	602072	33	0	-1.0
3983	COX6A2	1339	22	20	4	2	602009	5	0	2.0
3984	COX6B1	1340	68	52	50	2	124089	15	1	2.0
3985	COX6B2	125965	27	27	0	0	618127	8	0	0.0
3986	COX6C	1345	41	41	0	0	124090	5	0	0.0
3987	COX7A1	1346	16	16	0	0	123995	5	0	0.0
3988	COX7A2	1347	16	16	0	0	123996	2	0	-1.0
3989	COX7A2L	9167	23	23	0	0	605771	3	0	0.0
3990	COX7B	1349	185	173	25	5	300885	21	0	5.0
3991	COX7B2	170712	21	21	0	0	609811	2	0	0.0
3992	COX7C	1350	18	18	0	0	603774	4	0	-144.0
3993	COX8A	1351	31	23	22	1	123870	2	0	1.0
3994	COX8C	341947	25	25	0	0	616855	1	0	0.0
3995	CP	1356	985	655	722	96	117700	229	18	96.0
3996	CPA1	1357	769	616	739	2	114850	324	15	2.0
3997	CPA2	1358	30	30	3	0	600688	4	0	0.0
3998	CPA3	1359	26	26	4	0	114851	2	0	0.0
3999	CPA4	51200	28	28	1	0	607635	4	0	0.0
4000	CPA5	93979	28	28	0	0	609561	5	0	0.0
4001	CPA6	57094	327	219	295	4	609562	132	15	2.0
4002	CPAMD8	27151	193	171	176	9	608841	10	0	9.0
4003	CPB1	1360	25	25	3	0	114852	2	0	-9.0
4004	CPB2	1361	55	55	3	0	603101	0	0	0.0
4005	CPB2-AS1	100509894	32	32	0	0	0	0	0	0.0
4006	CPD	1362	13	13	4	0	603102	0	0	0.0
4007	CPE	1363	68	64	23	4	114855	7	0	4.0
4008	CPEB1	64506	36	35	2	6	607342	6	0	6.0
4009	CPEB1-AS1	283692	422	394	0	24	0	185	0	24.0
4010	CPEB2	132864	53	53	0	0	610605	2	0	-4.0
4011	CPEB2-DT	441009	18	18	0	0	0	0	0	0.0
4012	CPEB3	22849	18	18	1	1	610606	4	0	1.0
4013	CPEB4	80315	22	22	0	2	610607	1	0	2.0
4014	CPED1	79974	37	37	7	1	0	5	0	1.0
4015	CPHXL	105371346	16	16	0	0	618700	2	0	-3.0
4017	CPLANE1	65250	2295	1426	2209	182	614571	632	76	181.0
4018	CPLANE1-AS1	105374727	21	21	0	0	0	9	0	-21.0
4019	CPLANE2	79363	22	22	0	0	0	4	0	-2.0
4020	CPLX1	10815	178	167	31	3	605032	24	1	1.0
4021	CPLX2	10814	23	23	0	1	605033	1	0	0.0
4022	CPLX3	594855	40	39	0	0	609585	4	0	0.0
4023	CPLX4	339302	74	72	0	0	609586	5	0	0.0
4024	CPM	1368	12	12	0	0	114860	1	0	0.0
4025	CPN1	1369	20	18	6	2	603103	2	0	1.0
4026	CPN2	1370	46	46	2	0	603104	7	0	0.0
4027	CPNE1	8904	24	24	0	2	604205	0	0	2.0
4028	CPNE2	221184	25	25	0	0	604206	5	0	0.0
4029	CPNE3	8895	36	36	0	0	604207	5	0	-1.0
4030	CPNE4	131034	22	22	0	0	604208	2	0	0.0
4031	CPNE5	57699	18	18	7	1	604209	1	0	1.0
4032	CPNE6	9362	25	25	1	0	605688	2	0	0.0
4033	CPNE7	27132	70	70	0	1	605689	21	0	-11.0
4034	CPNE8	144402	15	15	0	0	0	4	0	0.0
4035	CPNE9	151835	56	56	0	1	0	13	0	1.0
4036	CPO	130749	26	26	0	0	609563	2	0	0.0
4037	CPOX	1371	261	207	247	31	612732	87	7	31.0
4038	CPPED1	55313	28	28	0	0	615603	6	0	-28.0
4039	CPQ	10404	49	49	9	2	618754	4	0	2.0
4040	CPS1	1373	1664	1152	1632	204	608307	275	40	203.0
4041	CPS1-IT1	29034	9	9	0	0	0	1	0	-11.0
4042	CPSF1	29894	91	86	13	6	606027	18	0	-10.0
4043	CPSF2	53981	21	21	0	0	606028	1	0	-6.0
4044	CPSF3	51692	24	24	2	2	606029	3	0	2.0
4045	CPSF4	10898	25	25	1	0	603052	6	0	-4.0
4046	CPSF4L	642843	15	15	0	0	0	1	0	-6.0
4047	CPSF6	11052	11	11	0	0	604979	0	0	-10.0
4048	CPSF7	79869	14	14	1	0	0	5	0	-3.0
4049	CPT1A	1374	874	620	857	98	600528	133	12	97.0
4050	CPT1B	1375	165	160	10	0	601987	14	0	0.0
4051	CPT1C	126129	149	133	130	5	608846	50	2	4.0
4052	CPT2	1376	1341	720	1322	141	600650	269	47	140.0
4053	CPTP	80772	170	162	1	0	615467	18	0	-2.0
4054	CPVL	54504	29	29	2	0	609780	3	0	-9.0
4055	CPVL-AS2	100506497	5	5	0	0	0	0	0	-10.0
4056	CPXCR1	53336	167	161	3	0	301055	15	0	0.0
4057	CPXM1	56265	31	31	2	0	609555	6	0	-2.0
4058	CPXM2	119587	54	54	4	0	617348	5	0	-3.0
4059	CPZ	8532	89	89	13	3	603105	7	0	1.0
4060	CR1	1378	50	47	7	1	120620	11	0	1.0
4061	CR1L	1379	26	24	0	0	605886	3	0	0.0
4062	CR2	1380	637	516	608	7	120650	293	10	6.0
4063	CRABP1	1381	25	24	0	0	180230	4	0	0.0
4064	CRABP2	1382	20	16	1	0	180231	5	0	0.0
4065	CRACD	57482	27	27	0	0	618327	10	0	0.0
4066	CRACDL	343990	23	23	2	0	0	4	0	0.0
4067	CRACR2A	84766	69	69	4	1	614178	10	0	1.0
4068	CRACR2B	283229	46	45	0	0	614177	10	0	0.0
4069	CRADD	8738	63	50	46	8	603454	11	0	8.0
4070	CRADD-AS1	101928731	4	4	0	0	0	1	0	-1.0
4071	CRAMP1	57585	58	55	0	1	0	14	0	1.0
4072	CRAT	1384	145	132	103	1	600184	51	2	1.0
4073	CRAT37	101926928	10	10	0	0	0	0	0	-55.0
4074	CRB1	23418	2176	1274	2133	353	604210	376	69	353.0
4075	CRB2	286204	553	420	508	24	609720	129	10	22.0
4076	CRB3	92359	13	13	0	0	609737	5	0	-2.0
4077	CRBN	51185	157	142	59	12	609262	34	2	10.0
4078	CRCP	27297	26	26	0	0	606121	4	0	0.0
4079	CRCT1	54544	16	12	0	0	617426	3	0	-10.0
4083	CREB1	1385	31	31	6	0	123810	2	0	0.0
4084	CREB3	10488	81	79	3	0	606443	7	0	0.0
4085	CREB3L1	90993	188	157	168	6	616215	51	1	6.0
4086	CREB3L2	64764	51	51	0	0	608834	10	0	0.0
4087	CREB3L2-AS1	100130880	16	16	0	0	0	0	0	-10.0
4088	CREB3L3	84699	120	110	96	10	611998	27	1	10.0
4089	CREB3L4	148327	19	15	0	0	607138	4	0	0.0
4090	CREB5	9586	30	30	0	1	618262	3	0	-2.0
4091	CREBBP	1387	1967	1255	1820	407	600140	374	41	407.0
4092	CREBL2	1389	43	42	0	0	603476	4	0	0.0
4093	CREBRF	153222	23	23	2	0	617109	0	0	0.0
4094	CREBZF	58487	32	32	1	0	606444	5	0	-1.0
4095	CREG1	8804	21	20	0	0	618055	2	0	0.0
4096	CREG2	200407	23	23	0	0	618540	7	0	-2.0
4097	CRELD1	78987	201	158	146	4	607170	55	5	4.0
4098	CRELD2	79174	142	140	4	0	607171	7	0	-1.0
4099	CREM	1390	26	26	4	0	123812	6	0	-4.0
4103	CRH	1392	54	46	28	0	122560	7	0	0.0
4104	CRHBP	1393	12	12	2	0	122559	3	0	0.0
4105	CRHR1	1394	72	71	6	11	122561	5	0	9.0
4106	CRHR2	1395	39	39	5	0	602034	10	0	0.0
4107	CRIM1	51232	40	40	17	0	606189	3	0	0.0
4108	CRIM1-DT	100288911	3	3	0	0	0	0	0	-27.0
4109	CRIP1	1396	79	79	1	0	123875	16	0	0.0
4110	CRIP2	1397	79	79	2	0	601183	16	0	0.0
4111	CRIP3	401262	11	11	0	0	0	0	0	-3.0
4112	CRIPAK	285464	143	142	0	0	610203	12	0	0.0
4113	CRIPT	9419	52	45	32	9	604594	4	0	9.0
4114	CRISP1	167	17	17	0	0	601193	5	0	-5.0
4115	CRISP2	7180	20	20	3	0	187430	6	0	0.0
4116	CRISP3	10321	16	16	0	0	618062	5	0	0.0
4117	CRISPLD1	83690	33	33	1	1	0	2	0	1.0
4118	CRISPLD2	83716	73	73	9	4	612434	15	0	2.0
4119	CRK	1398	109	109	4	1	164762	10	0	1.0
4120	CRKL	1399	433	414	9	1	602007	55	0	1.0
4121	CRLF1	9244	94	80	80	24	604237	9	1	24.0
4122	CRLF2	64109	145	141	0	2	300357	12	0	2.0
4123	CRLF2	64109	145	141	0	2	400023	12	0	2.0
4124	CRLF3	51379	60	59	0	2	614853	12	0	2.0
4125	CRLS1	54675	29	29	2	1	608188	1	0	1.0
4126	CRMA	253868	10	10	0	1	0	1	0	-4.0
4127	CRMP1	1400	94	94	12	1	602462	8	0	-16.0
4128	CRNDE	643911	7	7	0	0	615624	0	0	0.0
4129	CRNKL1	51340	25	24	0	1	610952	1	0	1.0
4130	CRNN	49860	20	16	1	0	611312	6	0	0.0
4131	CROCC	9696	41	41	11	2	615776	9	0	1.0
4132	CROCC2	728763	47	47	0	0	0	1	0	0.0
4133	CROT	54677	19	19	2	1	606090	4	0	1.0
4134	CRP	1401	19	17	6	0	123260	5	0	0.0
4135	CRPPA	729920	896	647	833	61	614631	335	37	61.0
4136	CRPPA-AS1	100506025	179	116	0	12	0	38	0	12.0
4137	CRTAC1	55118	12	12	0	0	606276	0	0	0.0
4138	CRTAM	56253	55	55	6	0	612597	3	0	0.0
4139	CRTAP	10491	580	457	562	35	605497	240	14	35.0
4140	CRTC1	23373	16	16	6	0	607536	0	0	0.0
4141	CRTC2	200186	22	18	2	0	608972	6	0	0.0
4142	CRTC3	64784	43	42	3	0	608986	3	0	0.0
4143	CRTC3-AS1	101926895	14	14	0	0	0	2	0	0.0
4144	CRX	1406	856	442	832	72	602225	200	31	72.0
4145	CRY1	1407	19	18	5	0	601933	3	0	0.0
4146	CRY2	1408	22	22	2	0	603732	5	0	0.0
4147	CRYAA	1409	209	152	117	11	123580	35	2	11.0
4148	CRYAB	1410	470	230	444	24	123590	117	10	24.0
4149	CRYBA1	1411	88	67	74	12	123610	14	0	12.0
4150	CRYBA2	1412	37	34	6	0	600836	5	0	0.0
4151	CRYBA4	1413	190	153	82	14	123631	51	0	14.0
4152	CRYBB1	1414	107	92	77	10	600929	35	3	10.0
4153	CRYBB2	1415	126	108	96	16	123620	24	1	16.0
4154	CRYBB3	1417	133	100	104	4	123630	39	6	4.0
4155	CRYBG1	202	36	36	0	1	601797	10	0	1.0
4156	CRYBG2	55057	12	12	1	0	619765	4	0	0.0
4157	CRYBG3	131544	28	28	5	1	620146	11	0	1.0
4158	CRYGA	1418	34	32	3	0	123660	6	0	0.0
4159	CRYGB	1419	70	58	39	1	123670	11	0	1.0
4160	CRYGC	1420	97	84	65	17	123680	16	2	17.0
4161	CRYGD	1421	138	98	104	13	123690	26	3	13.0
4162	CRYGN	155051	76	76	2	0	609603	8	0	0.0
4163	CRYGS	1427	77	73	34	7	123730	15	1	7.0
4164	CRYL1	51084	175	172	91	5	609877	27	0	5.0
4165	CRYM	1428	146	101	120	2	123740	17	8	2.0
4166	CRYM-AS1	400508	2	2	0	0	0	0	0	0.0
4167	CRYZ	1429	36	36	5	0	123691	11	0	0.0
4168	CRYZL1	9946	73	66	0	2	603920	8	0	2.0
4170	CS	1431	14	14	4	0	118950	3	0	-1.0
4171	CSAD	51380	15	15	3	0	616569	3	0	0.0
4172	CSAG1	158511	196	189	3	0	300944	8	0	-1.0
4173	CSAG2	102723547	98	94	0	0	0	0	0	0.0
4174	CSAG3	389903	190	184	0	0	0	5	0	0.0
4175	CSDC2	27254	26	25	0	0	617689	5	0	-15.0
4176	CSDE1	7812	41	41	25	6	191510	17	0	-5.0
4177	CSE1L	1434	16	16	0	1	601342	5	0	1.0
4178	CSE1L-DT	102723483	3	3	0	0	0	1	0	0.0
4179	CSF1	1435	23	23	4	0	120420	1	0	0.0
4180	CSF1R	1436	727	518	683	57	164770	189	16	57.0
4181	CSF2	1437	26	25	5	0	138960	2	0	0.0
4182	CSF2RA	1438	502	451	371	14	306250	130	1	14.0
4183	CSF2RA	1438	502	451	371	14	425000	130	1	14.0
4184	CSF2RB	1439	412	361	389	1	138981	152	5	1.0
4185	CSF3	1440	16	16	6	0	138970	1	0	-1.0
4186	CSF3R	1441	496	390	480	34	138971	199	11	34.0
4187	CSGALNACT1	55790	245	234	149	11	616615	70	0	11.0
4188	CSGALNACT2	55454	19	19	0	0	616616	3	0	0.0
4190	CSH1	1442	23	23	0	0	150200	1	0	0.0
4191	CSH2	1443	21	21	1	0	118820	1	0	0.0
4192	CSHL1	1444	19	19	4	0	603515	2	0	-5.0
4193	CSK	1445	41	40	1	1	124095	4	0	0.0
4194	CSKMT	751071	16	16	1	0	617897	5	0	-2.0
4195	CSMD1	64478	371	366	107	19	608397	89	0	10.0
4196	CSMD2	114784	22	22	4	1	608398	9	0	-5.0
4197	CSMD2-AS1	402779	3	3	0	0	0	2	0	0.0
4198	CSMD3	114788	109	109	32	3	608399	23	0	-3.0
4199	CSN1S1	1446	32	32	2	0	115450	7	0	0.0
4200	CSN2	1447	30	30	0	0	115460	7	0	-74.0
4201	CSN3	1448	29	29	0	0	601695	6	0	0.0
4202	CSNK1A1	1452	19	18	1	1	600505	2	0	1.0
4203	CSNK1A1L	122011	46	46	0	0	0	2	0	-3.0
4204	CSNK1D	1453	29	29	4	2	600864	3	0	-3.0
4205	CSNK1E	1454	30	29	5	1	600863	1	0	-51.0
4206	CSNK1G1	53944	19	18	4	1	606274	7	0	0.0
4207	CSNK1G2	1455	36	36	0	4	602214	6	0	3.0
4208	CSNK1G2-AS1	255193	12	12	0	1	0	1	0	1.0
4209	CSNK1G3	1456	30	29	0	0	604253	8	0	0.0
4210	CSNK2A1	1457	248	196	171	40	115440	52	3	40.0
4211	CSNK2A2	1459	45	45	18	0	115442	8	0	-6.0
4212	CSNK2A3	283106	15	15	1	1	0	0	0	1.0
4213	CSNK2B	1460	121	102	104	57	115441	24	2	40.0
4215	CSPG4	1464	45	44	9	0	601172	8	0	-16.0
4216	CSPG5	10675	9	9	1	0	606775	0	0	-12.0
4217	CSPP1	79848	945	793	900	75	611654	411	4	75.0
4218	CSRNP1	64651	10	10	1	0	606458	0	0	-8.0
4219	CSRNP2	81566	10	10	0	0	0	2	0	0.0
4220	CSRNP3	80034	78	66	2	6	0	14	0	6.0
4221	CSRP1	1465	21	20	3	0	123876	3	0	-24.0
4222	CSRP1-AS1	107985246	3	3	0	0	0	1	0	0.0
4223	CSRP2	1466	13	13	0	0	601871	1	0	0.0
4224	CSRP3	8048	751	364	733	11	600824	216	21	11.0
4226	CST1	1469	26	26	0	0	123855	2	0	0.0
4227	CST11	140880	24	24	0	0	609731	1	0	0.0
4228	CST2	1470	27	27	2	0	123856	2	0	0.0
4229	CST3	1471	48	42	25	1	604312	4	0	0.0
4230	CST4	1472	29	29	5	0	123857	2	0	0.0
4231	CST5	1473	22	22	0	0	123858	2	0	0.0
4232	CST6	1474	17	16	3	1	601891	4	0	1.0
4233	CST7	8530	24	24	0	0	603253	4	0	0.0
4234	CST8	10047	25	25	0	0	608683	2	0	0.0
4235	CST9	128822	23	23	0	0	616543	2	0	0.0
4236	CST9L	128821	25	25	0	0	616536	2	0	0.0
4237	CSTA	1475	38	34	17	5	184600	2	0	5.0
4238	CSTB	1476	359	245	256	20	601145	79	9	-13.0
4239	CSTF1	1477	17	17	0	0	600369	3	0	0.0
4240	CSTF2	1478	177	171	3	0	300907	17	0	0.0
4241	CSTF2T	23283	18	18	1	0	611968	4	0	0.0
4242	CSTF3	1479	33	33	0	1	600367	10	0	1.0
4243	CSTF3-DT	338739	5	5	0	0	0	2	0	-20.0
4244	CSTL1	128817	24	24	0	0	0	2	0	0.0
4245	CSTPP1	79096	16	16	0	1	0	1	0	-16.0
4246	CT45A1	541466	185	179	0	0	300648	6	0	0.0
4247	CT45A10	102723631	85	81	0	0	0	0	0	-23.0
4248	CT45A2	728911	180	174	0	0	300793	4	0	0.0
4249	CT45A3	441519	180	174	0	0	300794	4	0	0.0
4250	CT45A5	441521	174	168	0	0	300796	4	0	0.0
4251	CT45A6	541465	172	166	0	0	300797	4	0	-2.0
4252	CT45A7	101060211	85	81	0	0	0	0	0	-1.0
4253	CT45A8	102723737	85	81	0	0	0	0	0	0.0
4254	CT45A9	102723680	85	81	0	0	0	0	0	0.0
4255	CT47A1	728096	165	159	0	0	300780	4	0	0.0
4256	CT47A10	728036	165	159	0	0	300789	4	0	0.0
4257	CT47A11	255313	165	159	0	0	300592	4	0	-5.0
4258	CT47A12	100507170	165	159	0	0	0	4	0	-6.0
4259	CT47A2	728090	165	159	0	0	300781	4	0	0.0
4260	CT47A3	728082	165	159	0	0	300782	4	0	-2.0
4261	CT47A4	728075	165	159	0	0	300783	4	0	0.0
4262	CT47A5	728072	165	159	0	0	300784	4	0	-1.0
4263	CT47A6	728062	165	159	0	0	300785	4	0	0.0
4264	CT47A7	653282	165	159	0	0	300786	4	0	0.0
4265	CT47A8	728049	165	159	0	0	300787	4	0	0.0
4266	CT47A9	728042	165	159	0	0	300788	4	0	0.0
4267	CT47B1	643311	165	159	0	0	300790	4	0	0.0
4269	CT55	54967	182	176	0	0	0	7	0	0.0
4270	CT62	196993	18	17	0	0	0	2	0	-1.0
4271	CT66	100507468	11	10	2	1	0	1	0	1.0
4272	CT69	101928231	3	3	0	0	0	1	0	0.0
4274	CT75	440934	9	9	0	0	0	0	0	0.0
4275	CT83	203413	161	155	0	0	300625	3	0	0.0
4276	CTAG1A	246100	217	209	0	1	300657	9	0	1.0
4277	CTAG1B	1485	214	206	0	0	300156	6	0	0.0
4278	CTAG2	30848	214	206	7	0	300396	3	0	-1.0
4279	CTAGE1	64693	43	41	7	0	608856	1	0	0.0
4280	CTAGE15	441294	46	46	0	0	0	3	0	0.0
4281	CTAGE4	100128553	53	53	0	0	608910	6	0	-5.0
4282	CTAGE6	340307	57	56	1	0	0	5	0	0.0
4283	CTAGE8	100142659	54	54	0	0	0	6	0	0.0
4284	CTAGE9	643854	24	24	0	0	0	6	0	0.0
4285	CTBP1	1487	228	217	87	2	602618	36	0	2.0
4286	CTBP1-AS	285463	121	113	0	1	0	19	0	1.0
4287	CTBP1-DT	92070	69	69	0	0	0	4	0	0.0
4288	CTBP2	1488	73	73	17	3	602619	8	0	2.0
4289	CTBS	1486	21	21	3	0	600873	3	0	0.0
4290	CTC-338M12.4	101928649	10	10	0	0	0	2	0	-1.0
4291	CTC1	80169	1526	1044	1498	74	613129	591	36	74.0
4292	CTCF	10664	314	235	261	57	604167	69	8	57.0
4293	CTCF-DT	107984813	12	12	0	0	0	0	0	0.0
4294	CTCFL	140690	29	29	2	0	607022	1	0	0.0
4295	CTD-2194D22.4	101929081	56	56	0	0	0	3	0	0.0
4296	CTD-2350J17.1	101929472	38	38	0	0	0	2	0	0.0
4297	CTDNEP1	23399	31	30	0	0	610684	8	0	0.0
4298	CTDP1	9150	471	383	280	1	604927	66	4	1.0
4299	CTDP1-DT	284241	75	73	0	0	0	2	0	-1.0
4300	CTDSP1	58190	33	30	2	0	605323	4	0	0.0
4301	CTDSP2	10106	12	12	1	1	608711	0	0	1.0
4302	CTDSPL	10217	26	24	0	0	608592	8	0	0.0
4303	CTDSPL2	51496	21	20	4	0	618739	8	0	0.0
4304	CTF1	1489	165	131	144	0	600435	69	6	0.0
4305	CTH	1491	95	88	65	4	607657	45	3	4.0
4306	CTHRC1	115908	47	47	2	1	610635	6	0	1.0
4307	CTIF	9811	53	51	3	2	613178	7	0	2.0
4308	CTLA4	1493	236	190	196	32	123890	84	8	32.0
4309	CTNNA1	1495	2745	2087	2719	14	116805	1156	40	13.0
4310	CTNNA1-AS1	105379194	10	10	0	0	0	1	0	0.0
4311	CTNNA2	1496	102	98	63	4	114025	29	0	4.0
4312	CTNNA2-AS1	101927987	5	5	0	0	0	2	0	-1.0
4313	CTNNA3	29119	1054	739	954	10	607667	373	8	10.0
4314	CTNNAL1	8727	46	46	3	0	604785	6	0	0.0
4315	CTNNB1	1499	909	468	757	191	116806	124	8	171.0
4316	CTNNBIP1	56998	37	37	0	0	607758	9	0	0.0
4317	CTNNBL1	56259	11	11	2	1	611537	0	0	1.0
4318	CTNND1	1500	73	69	60	21	601045	20	0	9.0
4319	CTNND2	1501	334	313	204	21	604275	42	3	-40.0
4320	CTNS	1497	1159	651	1061	158	606272	173	17	158.0
4322	CTPS1	1503	176	153	159	1	123860	71	0	-1.0
4323	CTPS2	56474	181	175	2	1	300380	10	0	1.0
4324	CTR9	9646	343	330	330	8	609366	119	3	8.0
4325	CTRB1	1504	46	46	1	0	118890	19	0	-3.0
4326	CTRB2	440387	47	47	1	0	619620	19	0	0.0
4327	CTRC	11330	688	443	644	23	601405	195	31	23.0
4328	CTRL	1506	40	38	7	0	118888	6	0	0.0
4329	CTSA	5476	341	251	326	40	613111	114	5	6.0
4330	CTSB	1508	221	219	105	2	116810	42	0	2.0
4331	CTSC	1075	383	268	361	32	602365	112	11	18.0
4332	CTSD	1509	845	527	805	18	116840	222	37	-9.0
4333	CTSE	1510	28	27	1	0	116890	3	0	-11.0
4334	CTSF	8722	296	182	279	22	603539	65	9	-13.0
4335	CTSG	1511	28	28	4	0	116830	1	0	-1.0
4336	CTSH	1512	28	27	9	0	116820	2	0	-16.0
4337	CTSK	1513	300	235	285	88	601105	46	6	88.0
4338	CTSL	1514	39	39	2	0	116880	5	0	0.0
4339	CTSO	1519	36	36	0	0	600550	6	0	-21.0
4340	CTSS	1520	17	13	2	0	116845	4	0	0.0
4341	CTSV	1515	37	37	1	0	603308	1	0	0.0
4342	CTSW	1521	16	15	0	0	602364	5	0	-48.0
4343	CTSZ	1522	23	23	3	0	603169	2	0	-8.0
4344	CTTN	2017	18	18	6	0	164765	4	0	0.0
4346	CTTNBP2	83992	35	35	5	1	609772	6	0	0.0
4347	CTTNBP2NL	55917	15	15	2	0	615100	2	0	-58.0
4348	CTU1	90353	16	16	0	0	612694	1	0	-22.0
4349	CTU2	348180	198	173	112	4	617057	35	0	4.0
4350	CTXN1	404217	9	9	0	0	600135	2	0	0.0
4351	CTXN2	399697	22	21	0	0	0	2	0	-1.0
4353	CTXN3	613212	22	21	0	0	618746	2	0	0.0
